Date,Name,Symbol,Type,Category,Quantity,Price,TotalValue,Note
2024/7,Neutron,NTRN,Assets,Cryptocurrency,335.26,12,"4,023",
2024/7,Aerodrome Finance,AERO,Assets,Cryptocurrency,599.58,22,"12,987",
2024/7,Realio,RIO,Assets,Cryptocurrency,655.84,28,"18,514",
2024/7,MANTRA,OM,Assets,Cryptocurrency,"1,589.37",31,"49,673",
2024/7,Ondo,ONDO,Assets,Cryptocurrency,"1,458.00",24,"34,899",
2024/7,TRESTLE,TRESTLE,Assets,Cryptocurrency,"7,614.00",0,396,
2024/7,Ordiswap,ORDS,Assets,Cryptocurrency,"8,590.00",1,"6,146",
2024/7,Stacks,STX,Assets,Cryptocurrency,284.53,45,"12,899",
2024/7,Mat1x,MAX,Assets,Cryptocurrency,110.00,10,"1,073",
2024/7,USDT,USDT,Assets,Cryptocurrency,0.00,33,0,Binance(earn)
2024/7,TWINBEANS stock,,Assets,Unlisted stock,"451,500.00",10,"4,515,000","12 NT/share: 500K(盈志)+850K(爸)+150K(廷)
20 NT/share: 780K(盈志)
Share(盈志)：41,667+39,000 = 80667
Share(爸)：70,833
Share(廷)：12,500"
2024/7,Atom stock,,Assets,Unlisted stock,"5,000.00",24,"120,000",
2024/7,Installment,TWD,Liabilities,Cash,1.00,"136,541","136,541",
2024/6,盈志 Bank,TWD,Assets,Cash,"40,611",1,"40,611",國泰世華
2024/6,郁雯 Bank,TWD,Assets,Cash,"844,955",1,"844,955",郵局
2024/6,Bitcoin,BTC,Assets,Cryptocurrency,0.0631,"1,806,779","113,966",
2024/6,Ethereum,ETH,Assets,Cryptocurrency,3.34,"94,634","316,078","Sushi(farm), Matamask, Binance(earn)"
2024/6,Solana,SOL,Assets,Cryptocurrency,11.53,"4,285","49,408",Binance(earn)
2024/6,Sui,SUI,Assets,Cryptocurrency,586.64,21,"12,189",Binance(earn)
2024/6,Polygon,POL,Assets,Cryptocurrency,"3,791.35",16,"59,080",Binance(earn)
2024/6,Arbitrum,ARB,Assets,Cryptocurrency,896.84,20,"18,343",Binance(earn)
2024/6,Optimism,OP,Assets,Cryptocurrency,7.00,46,320,Binance(earn)
2024/6,Chainlink,LINK,Assets,Cryptocurrency,99.00,411,"40,657",Binance(earn)
2024/6,The Graph,GRT,Assets,Cryptocurrency,"4,466.00",6,"24,648",MAX
2024/6,Pyth Network,PYTH,Assets,Cryptocurrency,"2,468.00",9,"21,633",Binance(earn)
2024/6,Truflation,TRUF,Assets,Cryptocurrency,"1,426.00",6,"8,333",Binance(earn)
2024/6,Filecoin,FIL,Assets,Cryptocurrency,126.49,120,"15,149",
2024/6,Arweave,AR,Assets,Cryptocurrency,41.52,717,"29,789",
2024/6,Immutable,IMX,Assets,Cryptocurrency,764.00,39,"29,590","Binance, OKX"
2024/6,GALA,GALA,Assets,Cryptocurrency,"1,193.00",1,813,
2024/6,Beam,BEAM,Assets,Cryptocurrency,"37,672.00",0,"16,755",
2024/6,Ronin,RON,Assets,Cryptocurrency,193.84,54,"10,540",
2024/6,Xai,XAI,Assets,Cryptocurrency,283.00,10,"2,940",
2024/6,Nakamoto Games,NAKA,Assets,Cryptocurrency,208.45,35,"7,302",
2024/6,Gaimin,GMRX,Assets,Cryptocurrency,"172,872.00",0,"9,990",
2024/6,Aethir,ATH,Assets,Cryptocurrency,0,0,0,
2024/6,Portal,PORTAL,Assets,Cryptocurrency,508.48,12,"5,992",
2024/6,Myria,MYRIA,Assets,Cryptocurrency,"82,339.00",0,"7,511",
2024/6,GamerCoin,GHX,Assets,Cryptocurrency,"1,632.00",2,"3,391",
2024/6,Ultiverse,ULTI,Assets,Cryptocurrency,"2,114.00",1,"1,627",
2024/6,SuperVerse,SUPER,Assets,Cryptocurrency,589.67,17,"10,108",
2024/6,Render,RENDER,Assets,Cryptocurrency,104.06,204,"21,225",
2024/6,Akash network,AKT,Assets,Cryptocurrency,223.44,113,"25,243",
2024/6,Nosana,NOS,Assets,Cryptocurrency,66.47,88,"5,848",
2024/6,Clore.ai,CLORE,Assets,Cryptocurrency,"1,727.90",3,"4,712",
2024/6,AIT Portocol,AIT,Assets,Cryptocurrency,600.00,2,"1,227",
2024/6,Artificial Superintelligence Alliance,FET,Assets,Cryptocurrency,401.60,37,"14,785",
2024/6,RSS3,RSS3,Assets,Cryptocurrency,"2,800.00",6,"15,635",
2024/6,AIOZ Network,AIOZ,Assets,Cryptocurrency,578.12,14,"7,864",
2024/6,PAAL AI,PAAL,Assets,Cryptocurrency,0.00,6,0,
2024/6,Cosmos Hub,ATOM,Assets,Cryptocurrency,61.73,193,"11,895",
2024/6,Injective,INJ,Assets,Cryptocurrency,30.24,604,"18,259",
2024/6,Evmos,EVMOS,Assets,Cryptocurrency,241.19,1,211,
2024/6,Celestia,TIA,Assets,Cryptocurrency,93.75,176,"16,465",
2024/6,Dymension,DYM,Assets,Cryptocurrency,13.69,39,533,
2024/6,Sei,SEI,Assets,Cryptocurrency,"1,196.50",9,"10,410",
2024/6,Osmosis,OSMO,Assets,Cryptocurrency,101.81,15,"1,550",
2024/6,JUNO,JUNO,Assets,Cryptocurrency,109.96,4,421,
2024/6,Scroll,SCR,Assets,Cryptocurrency,,0,0,
2024/6,ZKSync,ZK,Assets,Cryptocurrency,"6,529.00",5,"31,370",
2024/6,Pepe,PEPE,Assets,Cryptocurrency,0.00,0,0,
2024/6,Slerf,SLERF,Assets,Cryptocurrency,655.00,6,"3,828",
2024/6,AssangeDAO,JUSTIC,Assets,Cryptocurrency,"500,000.00",0,"2,972",
2024/6,Parcl,PRCL,Assets,Cryptocurrency,,0,0,
2024/6,Neon,NEON,Assets,Cryptocurrency,606.84,12,"7,585",
2024/6,LayerZero,ZRO,Assets,Cryptocurrency,,0,0,
2024/6,Pendle,PENDLE,Assets,Cryptocurrency,309.49,110,"34,061",
2024/6,Neutron,NTRN,Assets,Cryptocurrency,335.26,12,"4,038",
2024/6,Aerodrome Finance,AERO,Assets,Cryptocurrency,599.58,18,"10,531",
2024/6,Realio,RIO,Assets,Cryptocurrency,655.84,33,"21,952",
2024/6,MANTRA,OM,Assets,Cryptocurrency,"1,589.37",27,"43,549",
2024/6,Ondo,ONDO,Assets,Cryptocurrency,"1,458.00",30,"43,499",
2024/6,TRESTLE,TRESTLE,Assets,Cryptocurrency,"7,614.00",0,470,
2024/6,Ordiswap,ORDS,Assets,Cryptocurrency,"8,590.00",1,"8,840",
2024/6,Stacks,STX,Assets,Cryptocurrency,284.53,43,"12,193",
2024/6,USDT,USDT,Assets,Cryptocurrency,0.00,32,0,Binance(earn)
2024/6,TWINBEANS stock,,Assets,Unlisted stock,"451,500.00",10,"4,515,000","12 NT/share: 500K(盈志)+850K(爸)+150K(廷)
20 NT/share: 780K(盈志)
Share(盈志)：41,667+39,000 = 80667
Share(爸)：70,833
Share(廷)：12,500"
2024/6,Atom stock,,Assets,Unlisted stock,"5,000.00",24,"120,000",
2024/6,Installment,TWD,Liabilities,Cash,1.00,"136,541","136,541",
2024/5,盈志 Bank,TWD,Assets,Cash,"25,150",1,"25,150",國泰世華
2024/5,郁雯 Bank,TWD,Assets,Cash,"915,948",1,"915,948",郵局
2024/5,Bitcoin,BTC,Assets,Cryptocurrency,0.0631,"2,315,864","146,077",
2024/5,Ethereum,ETH,Assets,Cryptocurrency,3.33,"123,539","411,384","Sushi(farm), Matamask, Binance(earn)"
2024/5,Solana,SOL,Assets,Cryptocurrency,11.53,"5,553","64,028",Binance(earn)
2024/5,Sui,SUI,Assets,Cryptocurrency,586.64,37,"21,948",Binance(earn)
